Date;Open;High;Low;Close;Adj Close;Volume
Oct 4, 2025;122267.47;122857.64;121577.57;122425.43;122425.43;36769171735
Oct 3, 2025;120656.98;123944.7;119344.31;122266.53;122266.53;83941392228
Oct 2, 2025;118652.38;121086.41;118383.16;120681.26;120681.26;71415163912
Oct 1, 2025;114057.59;118648.93;113981.4;118648.93;118648.93;71328680132
Sep 30, 2025;114396.52;114836.62;112740.56;114056.09;114056.09;58986330258
Sep 29, 2025;112117.88;114473.57;111589.95;114400.38;114400.38;60000147466
Sep 28, 2025;109681.95;112375.48;109236.95;112122.64;112122.64;33371048505
Sep 27, 2025;109707.14;109778.5;109144.3;109681.95;109681.95;26308042910
Sep 26, 2025;109041.3;110359.2;108728.98;109712.83;109712.83;57738288949
Sep 25, 2025;113330.16;113541.09;108713.4;109049.29;109049.29;75528654284
Sep 24, 2025;112007.66;113986.27;111229.64;113328.63;113328.63;48044595085
Sep 23, 2025;112757.48;113351.91;111535.57;112014.5;112014.5;47211853279
Sep 22, 2025;115309.22;115431.31;112037.65;112748.51;112748.51;70684158591
Sep 21, 2025;115730.23;115901.09;115252.58;115306.09;115306.09;22495852193
Sep 20, 2025;115691.13;116191.15;115473.52;115721.96;115721.96;22864449614
Sep 19, 2025;117137.67;117479.76;115141.82;115688.86;115688.86;38828473971
Sep 18, 2025;116461.27;117911.79;116188.8;117137.2;117137.2;49457272032
Sep 17, 2025;116840.51;117328.61;114794.98;116468.51;116468.51;60528025996
Sep 16, 2025;115423.76;117005.27;114813.09;116843.19;116843.19;45781744593
Sep 15, 2025;115399.63;116747.88;114461.06;115444.88;115444.88;52937859416
Sep 14, 2025;115950.29;116181.5;115222.4;115407.66;115407.66;32798036057
Sep 13, 2025;116093.56;116334.63;115248.27;115950.51;115950.51;34549454947
Sep 12, 2025;115507.79;116769.38;114794.48;116101.58;116101.58;54785725894
Sep 11, 2025;113961.43;115522.55;113453.84;115507.54;115507.54;45685065332
Sep 10, 2025;111531.25;114275.25;110940.08;113955.36;113955.36;56377473784
Sep 9, 2025;112077.58;113225.44;110776.7;111530.55;111530.55;45984480722
Sep 8, 2025;111163.02;112869.23;110630.61;112071.43;112071.43;40212813407
Sep 7, 2025;110221.33;111591.08;110211.63;111167.62;111167.62;24618007520
Sep 6, 2025;110650.57;111275.02;110024.09;110224.7;110224.7;21500719036
Sep 5, 2025;110723.02;113357.49;110233.4;110650.98;110650.98;60241647677
Sep 4, 2025;111718.15;112208.33;109347.23;110723.6;110723.6;60131132901
Sep 3, 2025;111190.7;112600.23;110582.96;111723.21;111723.21;61119643565
Sep 2, 2025;109243.07;111748.02;108454.03;111200.59;111200.59;74776999491
Sep 1, 2025;108228.75;109890.59;107271.18;109250.59;109250.59;66870372995
Aug 31, 2025;108818.46;109491.0;108104.66;108236.71;108236.71;47986191770
Aug 30, 2025;108409.41;108929.35;107444.45;108808.07;108808.07;51486264208
Aug 29, 2025;112550.52;112619.05;107559.63;108410.84;108410.84;77843379644
Aug 28, 2025;111219.05;113450.08;110900.92;112544.8;112544.8;58860155962
Aug 27, 2025;111795.71;112619.41;110398.27;111222.06;111222.06;62137056409
Aug 26, 2025;110124.1;112397.02;108762.04;111802.66;111802.66;69396320317
Aug 25, 2025;113456.9;113637.84;109324.28;110124.35;110124.35;85706860190
Aug 24, 2025;115387.39;115615.09;111060.55;113458.43;113458.43;73961489632
Aug 23, 2025;116866.37;116996.25;114536.11;115374.33;115374.33;55377142586
Aug 22, 2025;112433.73;117377.4;111678.95;116874.09;116874.09;82528088240
Aug 21, 2025;114275.69;114802.65;111986.23;112419.03;112419.03;57817883700
Aug 20, 2025;112828.02;114625.8;112387.96;114274.74;114274.74;67993811526
Aug 19, 2025;116241.86;116764.5;112730.4;112831.18;112831.18;71657600353
Aug 18, 2025;117453.91;117614.17;114723.68;116252.31;116252.31;72787808090
Aug 17, 2025;117492.79;118595.77;117279.52;117453.06;117453.06;45852169525
Aug 16, 2025;117398.42;117996.06;117271.95;117491.35;117491.35;48036922378
Aug 15, 2025;118365.78;119332.31;116864.57;117398.35;117398.35;68665353159
Aug 14, 2025;123339.4;124457.12;117254.88;118359.58;118359.58;104055627395
